Date/Time,State,Command
2016.08.30 22:06:07,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:07,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:06,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:06,Receive,(240.0 000.0 229.0 000 50.0 26.2 29.0 00001100
2016.08.30 22:06:05,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:05,Receive,(237.0 000.0 239.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:06:04,Send,80 06 04 03 09 04 00 66 
2016.08.30 22:06:04,Receive,UPS No Ack
2016.08.30 22:06:03,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:03,Receive,(239.0 000.0 240.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:06:02,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:02,Receive,#                1500VA     V6.7      
2016.08.30 22:06:01,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:01,Receive,(239.0 000.0 240.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:06:00,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:00,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:59,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:59,Receive,(237.0 000.0 242.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:05:58,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:58,Receive,(237.0 000.0 240.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:05:57,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:57,Receive,(239.0 000.0 240.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:05:56,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:05:56,Receive,#                1500VA     V6.7      
2016.08.30 22:05:55,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:55,Receive,(239.0 000.0 242.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:05:54,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:05:54,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:53,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:53,Receive,(239.0 000.0 239.0 000 50.0 26.8 29.0 00001000
2016.08.30 22:05:52,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:52,Receive,(235.0 000.0 242.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:51,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:51,Receive,(239.0 000.0 242.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:50,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:05:50,Receive,#                1500VA     V6.7      
2016.08.30 22:05:49,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:49,Receive,(237.0 000.0 240.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:48,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:05:48,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:47,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:47,Receive,(237.0 000.0 242.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:46,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:46,Receive,(237.0 000.0 237.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:45,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:45,Receive,(239.0 000.0 240.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:44,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:05:44,Receive,#                1500VA     V6.7      
2016.08.30 22:05:43,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:43,Receive,(239.0 000.0 239.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:42,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:05:42,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:41,Send,80 06 03 03 09 04 00 66 
